"Julian_Date","Year","Girth_cm","Grass_Temp..Deg.C...Smp.","Soil_Temp_4in...Deg.C...Smp.","Air_Temp..Deg.C...Smp.","Grass_Temp_Min..Deg.C...Min.","Grass_Temp_Max..Deg.C...Max.","Rain_mm_Tot...mm...Tot.","species","Air_Temp_Max...Deg.C...Max."
98,"2015",89,16.8,8.23,12.45,0.354,29.93,0,"quercus.robur",17.33
98,"2015",155,16.8,8.23,12.45,0.354,29.93,0,"quercus.robur",17.33
98,"2015",174,16.8,8.23,12.45,0.354,29.93,0,"quercus.robur",17.33
98,"2015",91,16.8,8.23,12.45,0.354,29.93,0,"quercus.robur",17.33
98,"2015",61,16.8,8.23,12.45,0.354,29.93,0,"quercus.robur",17.33
99,"2015",105,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",104,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",94,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",141,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",86,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",159,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",147,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",149,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",133,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",133,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",126,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",72,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",31,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",115,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",31,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",46,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",49,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",59,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",100,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
99,"2015",165,13.1,8.35,6.873,0.033,29.41,0,"quercus.robur",17.54
100,"2015",70,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
100,"2015",149,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
100,"2015",206,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
100,"2015",130,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
100,"2015",65,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
100,"2015",78,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
101,"2015",307,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",155,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",174,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",127,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",104,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",94,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",141,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
100,"2015",250,17.76,8.59,12.66,-0.289,29.82,0,"quercus.robur",17.4
101,"2015",87,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",106,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",152,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",61,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",110,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",88,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",168,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
